Diet,Heating Energy Source,Transport,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,Weekly Electricity Usage,Carbon_Emission
vegetarian,wood,walk/bicycle,124,never,35,1,280,289.8
vegetarian,wood,private,230,never,5920,1,196,672.6
vegetarian,natural gas,private,263,very frequently,140,7,133,487.6
vegan,coal,private,263,frequently,7000,5,42,742.4
vegetarian,coal,public,260,frequently,154,3,231,472.8
vegan,electricity,private,114,never,5937,5,182,387.0
vegetarian,electricity,walk/bicycle,111,never,34,2,63,265.8
vegetarian,natural gas,private,194,rarely,7097,4,175,660.0
vegetarian,wood,private,144,very frequently,3532,6,259,754.6
omnivore,natural gas,walk/bicycle,108,frequently,7,1,182,328.8
vegan,coal,private,180,rarely,5186,3,154,432.2
pescatarian,natural gas,public,276,frequently,1166,2,147,335.0
omnivore,coal,walk/bicycle,162,frequently,54,5,203,436.8
vegetarian,coal,walk/bicycle,235,frequently,18,5,266,550.2
pescatarian,natural gas,public,263,rarely,931,7,259,492.2
vegetarian,electricity,public,84,rarely,1946,6,126,307.6
omnivore,electricity,private,84,very frequently,9951,5,189,1149.4
vegan,electricity,public,253,very frequently,397,6,98,421.8
vegan,coal,private,280,rarely,7999,5,196,347.2
omnivore,wood,walk/bicycle,163,very frequently,76,5,161,689.2
pescatarian,coal,private,281,rarely,8720,6,182,955.8
vegan,natural gas,walk/bicycle,72,frequently,62,7,126,450.6
pescatarian,natural gas,public,58,never,1921,4,210,307.0
vegan,natural gas,private,222,rarely,2653,1,126,205.0
omnivore,coal,public,221,very frequently,1024,3,266,623.2
omnivore,natural gas,walk/bicycle,273,frequently,55,5,112,498.8
vegetarian,electricity,walk/bicycle,235,rarely,64,4,28,218.4
vegetarian,electricity,public,161,frequently,1598,3,35,218.2
omnivore,wood,private,135,rarely,744,7,273,636.8
vegan,natural gas,private,66,frequently,2095,4,259,496.4
vegan,wood,walk/bicycle,50,very frequently,62,7,133,430.8
pescatarian,wood,private,171,rarely,4325,1,196,282.4
pescatarian,coal,walk/bicycle,146,frequently,6,2,98,385.4
pescatarian,natural gas,public,292,frequently,1472,1,161,368.0
vegetarian,coal,private,192,rarely,4191,2,182,480.0
pescatarian,coal,public,130,never,293,7,189,352.6
vegan,natural gas,walk/bicycle,297,very frequently,84,2,252,536.4
omnivore,wood,private,249,very frequently,804,7,245,706.6
omnivore,electricity,walk/bicycle,147,rarely,74,5,203,284.4
vegan,wood,public,256,very frequently,466,5,224,656.0
omnivore,wood,public,173,never,466,7,168,367.4
vegan,electricity,walk/bicycle,161,never,85,6,280,285.0
omnivore,coal,public,223,rarely,499,6,42,565.6
vegetarian,natural gas,public,165,frequently,453,1,266,360.4
omnivore,coal,private,247,never,6653,3,238,811.8
vegan,wood,public,194,frequently,1028,1,21,328.0
pescatarian,natural gas,walk/bicycle,295,very frequently,76,6,238,478.0
pescatarian,coal,private,152,frequently,3789,6,77,571.2
pescatarian,natural gas,public,226,rarely,1556,2,49,315.0
vegan,natural gas,public,92,never,931,7,126,401.0
pescatarian,electricity,private,69,frequently,7388,6,238,975.8
pescatarian,coal,private,50,rarely,1225,2,112,246.8
pescatarian,coal,public,88,never,406,7,301,311.6
pescatarian,wood,public,282,very frequently,629,3,112,621.6
vegetarian,coal,private,220,never,2868,1,84,392.4
omnivore,wood,walk/bicycle,88,never,94,2,245,286.2
vegan,natural gas,private,55,rarely,1083,4,294,372.8
omnivore,wood,public,283,rarely,1078,6,315,419.4
vegan,coal,private,203,frequently,4145,4,63,582.6
pescatarian,wood,walk/bicycle,128,never,46,6,119,338.4
vegetarian,wood,private,118,very frequently,3634,2,203,587.6
vegetarian,electricity,public,72,rarely,1367,4,119,259.8
vegetarian,electricity,public,224,frequently,685,6,126,478.0
pescatarian,coal,public,289,very frequently,667,3,182,626.2
pescatarian,electricity,walk/bicycle,261,frequently,74,7,56,421.8
vegetarian,electricity,public,273,never,1941,2,126,106.6
vegetarian,natural gas,private,103,never,4685,7,126,307.0
pescatarian,wood,public,250,frequently,767,1,147,403.6
pescatarian,coal,public,136,never,1692,5,252,346.6
vegetarian,natural gas,walk/bicycle,192,never,94,6,112,154.2
pescatarian,electricity,public,280,frequently,1855,1,98,315.4
omnivore,electricity,public,185,rarely,700,1,63,236.2
omnivore,natural gas,walk/bicycle,218,never,10,4,224,362.4
pescatarian,wood,walk/bicycle,257,rarely,98,5,280,433.0
pescatarian,coal,walk/bicycle,74,very frequently,83,6,203,530.6
vegan,wood,public,258,very frequently,164,4,203,605.4
vegetarian,coal,walk/bicycle,180,frequently,62,3,224,436.2
vegetarian,natural gas,walk/bicycle,171,frequently,49,6,147,404.6
vegan,wood,public,211,frequently,1126,1,147,244.6
pescatarian,wood,private,205,never,9179,6,42,852.2
pescatarian,natural gas,walk/bicycle,234,very frequently,66,3,49,335.2
pescatarian,electricity,walk/bicycle,264,frequently,7,5,112,348.4
pescatarian,electricity,public,272,frequently,756,5,147,421.8
omnivore,electricity,walk/bicycle,169,very frequently,76,4,203,435.6
pescatarian,wood,public,57,rarely,1110,7,77,325.8
vegetarian,wood,private,264,frequently,2165,2,280,645.2
omnivore,wood,public,171,frequently,1632,2,35,270.6
vegan,electricity,public,209,frequently,1735,1,203,314.4
vegan,natural gas,public,175,never,341,7,35,213.2
pescatarian,electricity,private,148,never,3722,1,105,368.6
pescatarian,natural gas,walk/bicycle,137,frequently,15,3,126,383.6
vegetarian,wood,private,259,frequently,3913,7,140,645.8
vegetarian,natural gas,walk/bicycle,267,rarely,94,6,98,370.0
vegetarian,wood,private,77,frequently,3116,4,301,557.4
vegetarian,natural gas,public,199,frequently,1031,6,273,314.2
vegetarian,electricity,private,113,very frequently,8782,3,56,417.4
pescatarian,natural gas,private,277,very frequently,4384,4,231,802.6
vegetarian,coal,private,274,never,2943,4,189,464.6
omnivore,natural gas,private,239,frequently,3616,1,196,572.0
vegetarian,electricity,walk/bicycle,243,very frequently,32,6,105,506.2
vegan,natural gas,walk/bicycle,90,rarely,66,4,98,186.4
vegan,coal,public,208,never,1040,3,245,259.8
vegetarian,electricity,private,250,rarely,213,5,224,252.6
pescatarian,electricity,public,223,frequently,1739,5,91,346.4
vegetarian,coal,walk/bicycle,268,very frequently,70,7,63,679.8
vegetarian,electricity,public,115,very frequently,440,1,77,425.8
vegan,coal,private,52,very frequently,30,4,322,448.4
vegetarian,coal,public,295,never,1307,3,140,401.8
pescatarian,wood,public,248,frequently,983,1,21,356.2
vegetarian,coal,walk/bicycle,78,very frequently,58,4,287,467.6
omnivore,coal,private,138,frequently,8374,5,147,842.6
vegetarian,wood,walk/bicycle,217,very frequently,85,7,49,499.0
vegetarian,coal,private,52,rarely,9742,7,175,1008.2
pescatarian,wood,walk/bicycle,118,rarely,53,7,133,386.0
omnivore,wood,private,145,rarely,7282,3,42,168.6
pescatarian,wood,private,265,rarely,8005,2,168,513.6
vegan,natural gas,public,230,very frequently,961,5,133,413.0
omnivore,natural gas,public,101,rarely,1507,7,84,476.6
omnivore,wood,walk/bicycle,196,very frequently,50,5,84,608.8
omnivore,natural gas,walk/bicycle,159,rarely,24,2,196,286.6
vegetarian,coal,private,110,never,9622,5,161,887.4
pescatarian,natural gas,walk/bicycle,217,rarely,98,2,84,243.6
vegan,wood,public,222,never,312,6,91,398.4
omnivore,electricity,private,158,rarely,5413,3,189,486.0
omnivore,natural gas,walk/bicycle,235,frequently,60,3,217,310.4
omnivore,natural gas,walk/bicycle,219,rarely,34,6,259,400.0
omnivore,wood,public,288,never,826,7,126,323.6
omnivore,natural gas,private,85,frequently,1510,2,105,486.2
vegan,wood,walk/bicycle,144,frequently,11,6,161,286.4
pescatarian,coal,public,129,never,801,3,210,312.4
vegetarian,wood,public,264,rarely,1717,4,63,303.4
vegan,natural gas,private,198,never,5457,3,154,450.2
vegetarian,coal,walk/bicycle,179,frequently,42,5,245,462.0
vegetarian,coal,walk/bicycle,284,never,60,2,189,234.2
omnivore,natural gas,walk/bicycle,141,never,15,3,56,233.6
pescatarian,wood,private,103,never,1703,6,322,319.0
omnivore,coal,private,92,never,1088,4,140,331.2
pescatarian,natural gas,public,50,rarely,1764,7,133,269.8
pescatarian,natural gas,private,136,rarely,5808,7,175,603.0
pescatarian,coal,private,176,very frequently,3873,5,175,956.8
vegan,electricity,public,70,frequently,286,4,84,294.0
omnivore,electricity,private,267,never,8305,2,196,575.4
vegetarian,natural gas,walk/bicycle,201,rarely,67,1,231,260.4
pescatarian,wood,walk/bicycle,245,frequently,94,3,189,469.8
pescatarian,coal,walk/bicycle,261,frequently,34,5,245,484.6
pescatarian,natural gas,walk/bicycle,289,never,82,1,189,184.8
pescatarian,wood,walk/bicycle,59,rarely,75,2,133,256.8
omnivore,wood,walk/bicycle,153,rarely,72,2,196,215.4
vegetarian,natural gas,public,101,very frequently,1759,6,147,526.4
pescatarian,wood,private,132,never,8699,4,217,947.4
vegetarian,wood,walk/bicycle,235,rarely,93,2,140,204.6
vegan,natural gas,public,61,rarely,773,2,252,287.4
pescatarian,electricity,walk/bicycle,182,frequently,91,2,126,422.2
pescatarian,coal,public,120,never,449,1,105,491.6
vegan,wood,walk/bicycle,122,never,92,2,182,167.4
omnivore,wood,private,294,frequently,5071,2,154,663.4
pescatarian,natural gas,walk/bicycle,184,frequently,71,3,161,367.0
pescatarian,electricity,private,178,rarely,9351,4,84,897.8
omnivore,electricity,public,125,very frequently,683,3,196,402.0
pescatarian,wood,walk/bicycle,277,rarely,87,1,119,242.8
omnivore,coal,public,83,rarely,1301,6,259,425.4
vegetarian,wood,private,110,frequently,9789,3,126,1289.4
pescatarian,wood,private,293,rarely,3438,1,315,504.4
pescatarian,electricity,walk/bicycle,176,rarely,30,3,189,244.6
vegan,coal,private,83,rarely,5467,4,182,284.8
vegetarian,natural gas,private,88,never,5492,7,119,563.0
vegan,coal,walk/bicycle,209,very frequently,56,5,105,566.0
omnivore,wood,private,130,very frequently,4638,1,98,679.0
omnivore,coal,private,138,rarely,4770,2,42,732.4
vegan,wood,private,145,frequently,2157,7,84,517.6
vegan,wood,private,260,rarely,7561,4,189,871.8
omnivore,natural gas,private,222,rarely,8831,2,98,606.4
vegan,wood,walk/bicycle,244,rarely,31,5,280,271.8
pescatarian,wood,private,58,very frequently,2576,5,182,509.8
vegetarian,electricity,private,168,rarely,6830,1,210,228.8
omnivore,coal,walk/bicycle,219,rarely,23,1,308,281.8
vegan,wood,walk/bicycle,133,never,92,4,91,191.2
vegan,wood,public,159,rarely,1301,3,84,261.8
vegan,natural gas,walk/bicycle,154,very frequently,90,5,189,535.4
pescatarian,wood,public,236,never,1770,2,210,287.6
vegetarian,wood,private,216,very frequently,1291,6,196,672.6
pescatarian,natural gas,private,240,rarely,3495,1,126,514.4
vegetarian,natural gas,walk/bicycle,132,frequently,55,5,28,404.2
omnivore,wood,public,101,very frequently,834,7,147,555.2
vegan,wood,walk/bicycle,209,very frequently,89,6,98,717.2
pescatarian,electricity,public,136,rarely,1821,1,238,123.4
vegetarian,coal,public,294,rarely,1337,3,182,524.6
omnivore,wood,public,233,never,1027,1,210,385.6
omnivore,natural gas,private,288,frequently,1937,7,154,424.0
omnivore,coal,private,97,frequently,2971,6,140,535.8
vegan,natural gas,walk/bicycle,298,frequently,23,1,252,344.6
pescatarian,electricity,public,150,very frequently,1619,7,147,428.4
vegetarian,coal,walk/bicycle,80,very frequently,52,3,168,554.6
vegan,wood,public,103,never,1704,3,238,376.8
pescatarian,electricity,walk/bicycle,267,rarely,76,3,168,427.4
vegan,natural gas,public,134,never,1346,7,224,488.8
pescatarian,coal,walk/bicycle,283,very frequently,32,6,175,594.8
pescatarian,wood,walk/bicycle,64,frequently,30,4,217,372.2
pescatarian,natural gas,walk/bicycle,81,rarely,79,4,266,242.8
vegetarian,natural gas,private,75,very frequently,2946,7,189,600.8
vegetarian,coal,private,52,very frequently,6418,3,21,831.0
vegetarian,wood,private,254,frequently,4180,5,238,446.4
pescatarian,wood,private,185,never,4358,4,28,237.0
pescatarian,electricity,private,66,never,449,1,273,160.4
omnivore,natural gas,walk/bicycle,166,very frequently,36,5,14,583.2
vegan,coal,private,194,never,9124,5,133,335.6
vegetarian,natural gas,walk/bicycle,266,frequently,38,4,98,320.4
omnivore,coal,private,226,rarely,4909,3,70,538.0
vegan,wood,public,261,never,1632,2,259,264.6
vegan,electricity,walk/bicycle,75,frequently,24,5,77,394.8
vegetarian,wood,private,190,never,7909,3,182,591.8
pescatarian,electricity,public,125,never,1813,7,175,252.0
omnivore,natural gas,walk/bicycle,155,frequently,13,5,196,399.6
omnivore,natural gas,private,275,very frequently,8404,3,49,1014.2
pescatarian,natural gas,public,152,rarely,1299,6,154,343.4
vegetarian,wood,private,279,frequently,4296,3,77,810.6
pescatarian,electricity,private,115,frequently,6338,7,147,413.6
vegan,coal,private,294,very frequently,8037,7,63,930.4
vegan,coal,private,219,frequently,3349,2,196,712.0
omnivore,coal,private,185,never,1444,1,196,498.2
vegan,wood,walk/bicycle,183,rarely,96,5,133,285.0
vegetarian,wood,public,77,very frequently,542,1,252,608.6
pescatarian,wood,public,71,never,426,5,210,355.8
vegetarian,natural gas,public,250,very frequently,1964,7,77,552.0
pescatarian,coal,private,72,very frequently,3238,1,196,437.8
vegan,coal,public,131,rarely,205,7,196,381.8
vegetarian,wood,public,261,never,1121,4,105,364.2
vegetarian,natural gas,walk/bicycle,293,very frequently,68,2,21,494.0
vegan,coal,walk/bicycle,238,very frequently,3,1,231,544.0
pescatarian,wood,walk/bicycle,192,never,20,2,147,318.4
vegetarian,wood,walk/bicycle,62,rarely,10,3,266,251.0
omnivore,electricity,walk/bicycle,81,never,89,2,210,311.6
vegetarian,coal,private,230,very frequently,4268,4,259,793.6
pescatarian,natural gas,public,58,frequently,1876,7,112,344.6
omnivore,coal,public,62,rarely,275,4,98,261.8
omnivore,natural gas,public,118,frequently,257,4,42,437.4
pescatarian,coal,walk/bicycle,271,very frequently,61,6,126,451.4
vegetarian,coal,walk/bicycle,52,frequently,82,6,133,586.6
omnivore,electricity,walk/bicycle,162,never,34,6,147,369.6
omnivore,coal,walk/bicycle,270,very frequently,61,6,105,585.2
vegan,coal,public,262,never,838,2,203,268.8
vegetarian,wood,public,196,rarely,950,5,105,321.4
pescatarian,wood,private,114,rarely,8021,3,140,685.2
omnivore,wood,walk/bicycle,236,frequently,56,5,35,522.8
pescatarian,coal,private,97,never,5878,5,56,674.0
vegetarian,coal,walk/bicycle,196,very frequently,95,3,112,360.6
pescatarian,coal,walk/bicycle,64,very frequently,88,4,98,520.2
vegetarian,wood,walk/bicycle,203,rarely,42,6,49,353.2
vegan,natural gas,public,212,never,1050,4,126,356.6
vegan,natural gas,public,100,frequently,1269,4,154,420.0
pescatarian,wood,private,272,rarely,3808,4,168,686.8
vegan,coal,walk/bicycle,160,rarely,24,3,105,344.8
omnivore,coal,private,58,never,1396,7,112,206.6
pescatarian,electricity,public,125,never,132,7,133,225.6
omnivore,natural gas,public,260,very frequently,1968,6,56,448.6
vegetarian,wood,private,82,very frequently,1048,1,252,485.0
vegan,electricity,private,105,rarely,2936,6,287,558.2
vegan,coal,private,103,very frequently,4792,1,28,532.4
pescatarian,natural gas,walk/bicycle,204,rarely,82,6,182,258.2
omnivore,coal,walk/bicycle,165,never,1,5,140,306.0
vegetarian,coal,walk/bicycle,180,rarely,21,1,217,272.6
vegan,coal,private,128,rarely,9511,4,133,359.4
pescatarian,coal,public,168,rarely,672,5,182,416.8
vegetarian,natural gas,public,135,very frequently,292,6,252,520.6
vegan,electricity,walk/bicycle,209,never,33,4,224,346.8
vegetarian,natural gas,public,285,frequently,465,6,140,370.8
vegetarian,electricity,private,141,rarely,8034,6,294,844.6
vegan,electricity,public,261,frequently,1901,7,301,358.0
pescatarian,wood,private,145,never,4458,4,154,404.2
omnivore,natural gas,private,171,frequently,9562,5,210,860.0
vegetarian,wood,walk/bicycle,107,frequently,22,6,175,541.2
vegan,natural gas,walk/bicycle,255,never,72,6,63,299.0
vegan,natural gas,private,140,rarely,7246,1,119,751.4
omnivore,natural gas,private,212,very frequently,7840,4,91,785.0
vegetarian,electricity,public,150,never,434,1,196,323.2
omnivore,natural gas,private,158,very frequently,2052,3,14,455.8
vegetarian,natural gas,walk/bicycle,279,rarely,54,2,91,212.2
pescatarian,electricity,walk/bicycle,147,frequently,29,3,224,233.6
omnivore,natural gas,walk/bicycle,215,rarely,4,3,189,233.4
vegan,coal,walk/bicycle,272,very frequently,85,7,231,534.4
pescatarian,wood,private,118,never,5602,2,273,618.8
pescatarian,electricity,walk/bicycle,52,never,43,2,133,131.2
vegetarian,wood,walk/bicycle,69,very frequently,53,1,224,388.6
pescatarian,electricity,private,176,very frequently,8091,5,259,545.6
vegetarian,coal,public,219,never,117,6,70,300.2
pescatarian,natural gas,public,85,very frequently,136,1,133,436.4
vegetarian,natural gas,private,94,rarely,8522,1,210,919.6
vegan,natural gas,public,230,very frequently,1877,5,105,432.8
vegan,coal,walk/bicycle,114,rarely,38,1,168,244.6
vegetarian,coal,public,97,rarely,542,4,245,337.4
pescatarian,coal,walk/bicycle,272,frequently,37,4,182,416.2
pescatarian,wood,public,261,very frequently,1843,6,217,586.2
vegan,coal,public,201,rarely,880,5,238,341.4
vegan,coal,walk/bicycle,256,very frequently,29,7,133,668.6
vegetarian,coal,public,95,frequently,944,5,126,330.8
vegan,natural gas,private,219,rarely,5556,4,168,622.8
vegetarian,natural gas,walk/bicycle,111,very frequently,39,2,112,431.6
pescatarian,natural gas,public,222,never,1287,7,70,282.0
vegan,coal,public,63,never,1778,7,77,288.8
vegan,wood,walk/bicycle,52,never,6,5,126,144.6
vegetarian,electricity,public,162,rarely,695,1,140,330.2
pescatarian,natural gas,walk/bicycle,115,frequently,72,1,91,191.0
vegan,coal,private,144,frequently,4771,4,161,402.8
vegetarian,natural gas,private,147,never,8567,7,147,998.8
omnivore,coal,walk/bicycle,286,rarely,57,2,322,353.4
omnivore,natural gas,walk/bicycle,262,rarely,89,3,91,537.2
vegan,wood,public,206,never,1067,2,259,325.8
pescatarian,coal,walk/bicycle,50,never,3,7,210,388.6
vegetarian,wood,public,65,never,1122,4,147,195.2
vegetarian,wood,public,281,never,1373,3,280,342.8
omnivore,electricity,private,187,very frequently,2847,4,266,624.2
pescatarian,natural gas,public,181,rarely,1719,4,196,336.2
vegan,natural gas,private,58,rarely,3337,3,189,672.2
vegan,natural gas,private,201,rarely,197,5,70,183.0
vegan,wood,walk/bicycle,98,frequently,92,3,266,419.2
omnivore,wood,private,245,rarely,7070,4,56,799.0
vegan,coal,private,215,never,681,1,28,235.6
